1	Vosim 99S			Jo Scherpenisse	99S	Vosim		Thuis	Sound synthesizer	Jos Jansen	Ongetest		TMS9900	16bits							?	LU			Hardware_Vosim_99S_picture.jpg
43	Digital MicroVAX II			Digital	MicroVAX II	Digital MicroVAX II		Depot	Server	Museum	Voeding stuk		VAX	QBus							?	LU			
44	Digital PDP 11/73			Digital	PDP 11/73	Digital PDP 11/73	850226383	Depot	Minicomputer	Museum			PDP11	QBus							?	LU			
45	Digital VT103-BA			Digital	VT103-BA	Digital VT103	WF07206	Depot	Desktop computer	Museum	Defect		PDP11	QBus								DND	9 augustus 2014		
46	PCS W8 80/0			PCS	W8 80/0	PCS W8 80/0	438.046	Depot	Computer	Museum			68k	QBus									14 februari 2020		
47	Tektronix 4002A			Tektronix	4002A	Tektronix 4002A		Depot	Grafische terminal	Museum	Defect		Discrete logica	RS232								LU	13 juni 2013		Hardware_Tektronix_4002A_picture.jpg
48	Digital LA50			Digital	LA50-RB	LA50	TC58284B	Depot	Printer	Hack42	Werkt			RS232											Hardware_Digital_LA50_picture.jpg
49			42001045	M4 Data	9914D		190 20789	Depot	Storage					SCSI											
50	Calcomp 1039			Calcomp	1039	Calcomp 1039	20208-101-000	MacSimski	Plotter		Defect		6.8k	Serieel							?	LU			
51	Fujitsu Swallow (2)			Fujitsu	Eagle	Fujitsu Eagle		Depot	Storage	Museum	OK			SMD											
52	Fujitsu Swallow (1)			Fujitsu	Eagle	Fujitsu Eagle		Depot	Storage	Museum				SMD											
53	Fujitsu Swallow (3)			Fujitsu	Eagle	Fujitsu Eagle		Depot	Storage	Museum				SMD											
54	Fujitsu Swallow (4)			Fujitsu	Eagle	Fujitsu Eagle		Depot	Storage	Museum				SMD							Bix				
55	Fujitsu Swallow (5)			Fujitsu	Eagle	Fujitsu Eagle		Depot	Storage	Museum				SMD								FailBaitr			
56	Digital DEC 3000 model 300X		I010003	Digital	DEC 3000 Model 300X		AY44509635	Depot	Desktop computer	Hack42	Passes diagnostics		AXP	Turbochannel	OpenVMS AXP,7.3			luggie	192.168.42.17			Stoneshop			
57	Digital Personal DECstation 5000/25			Digital	PM30A-AA	Personal DECstation 5000/25	AY238D9060	Depot	Workstation	Museum	Onbekend		MIPS	Turbochannel							?	LU	18 september 2014		
58	Digital Personal DECstation 5000/33			Digital	PM30B-AJ	Personal DECstation 5000/33	AY33222233	Depot	Workstation	Museum	Onbekend		MIPS	Turbochannel								Bix			
59	Digital PDP 11/44			Digital	PDP 11/44	PDP 11/44		Depot	Minicomputer	Museum	Voeding stuk		PDP11	Unibus								DND	9 augustus 2014		
60	Digital PDP 11/84			Digital	PDP 11/84	Digital PDP 11/84	NI11755	Depot	Minicomputer	Museum	Defect		PDP11	Unibus								DND	9 augustus 2014		
61	Digital VAX 11/750			Digital	VAX 11/750	kremvax		Depot	Minicomputer	Museum	Needs work		VAX	Unibus								Bix			
62	Fujitsu fi6230			Fujitsu	fi6230	Fujitsu fi6230 scanner	3261	Depot	Scanner	Hack42	OK			USB											
63			42001060	IBM	6360		6360-4413525	Depot	Dual 8” floppy drive																
64			42001053	Terak	8510		U100840	Depot																	
65	IBM 029			IBM	0029 B22	29 Card Punch	55-46532P9	Depot	Card Punch	Museum	OK		Electromechanisch									LU	13 juni 2013		Hardware_IBM_029_picture.jpg
66	Osborne (2)			Osborne	1	Osborne 1	A17009	Depot	Portable computer	Museum	Defect		Z80		CP/M							Eelco Lolkema			
67	Osborne (1)			Osborne	1	Osborne 1	A19512	Depot	Portable computer	Museum	Not entirely well		Z80		CP/M,2.2							DND	9 augustus 2014		
68	Teletype 14 KTR			Teletype Corporation	14-KTR	Teletype 14		Depot	Telex	Museum	OK		Electromechanisch												
69	Tele-Tec 1440			Tec	1440	Tele-Tec 1440	3910	Depot	Terminal	Museum	Defect										Bix				
70	HP 150 II			HP	150	HP 150		Depot	Desktop computer		OK		8086		MS-DOS										
71	Multitron modembank			Multitron	16	Multitron		Depot	Modembank	Museum	OK		?												
