1	Vosim 99S			Jo Scherpenisse	99S	Vosim		Thuis	Sound synthesizer	Jos Jansen	Ongetest		TMS9900	16bits							?	LU			Hardware_Vosim_99S_picture.jpg
208	Barco GD33 (2)			Barco	GD33	Barco GD33		Depot	Monitor	Museum	OK														
209	Target Gempower		42000009	Target	Gempower		?	Depot	Portable computer	Museum	?		x86												
210	GRiDCase 1520			GRiD Systems Corporation	GRiDCase 1520			Depot	Laptop				80286									DND	9 augustus 2014		
211	Schneider GT65 (3)			Schneider	GT65	Schneider GT65	28581	Depot	Monitor		OK											DND	9 augustus 2014		
212	CRDS HD11-T (1)			Charles Rivers Data Systems	HD11-T	CRDS HD11-T	A464	Depot	Storage	Museum															
213	HP 10C			HP	HP 10C	HP 10C	2247A02518	Depot	Calculator	Museum												J. van Praag	23 maart 2010		
214	Atari Portfolio			Atari	HPC-004	Portfolio	K1163045449	Depot	Handheld	Museum	OK		80C88		DIP DOS,2.11							J. van Praag	23 maart 2010		
215	Toshiba HX10			Toshiba	HX-10	Toshiba HX-10		Depot	Homecomputer	Museum			Z80		MSX						Denz	Denz	20 oktober 2015		
216	Epson HX-20 (2)		42000005	Epson	HX-20	HX-20	016647	Depot	Portable computer	Museum	Defect		?												
217	Epson HX-20 (1)			Epson	HX-20	Epson HX-20	015122	Depot	Portable computer	Museum	Onbekend											DND	9 augustus 2014		
218	Apple iMac			Apple	iMac G3 Green	Apple iMac		Depot	Desktop computer	Museum	OK		PPC		MacOS,8.5							DND	9 augustus 2014		Hardware_Apple_iMac_picture.jpg
219	SGI Indigo			SGI	Indigo	SGI Indigo		Depot	Workstation	Museum	Defect		MIPS		Irix,5.3							DND	9 augustus 2014		
220	SGI Indigo2 (2)			SGI	Indigo²	SGI Indigo 2		Depot	Workstation	Museum	OK		MIPS		Irix,5.3										
221	SGI Indy (1)			SGI	Indy	SGI Indy (1)		Depot	Workstation				MIPS								Stoneshop	LU	13 juni 2013		
222	SGI Indy (2)			SGI	Indy	SGI Indy (2)		Depot	Workstation				MIPS									DND	9 augustus 2014		
223	Digital InfoServer 150			Digital	Infoserver 150	Digital InfoServer 150		Depot	Server	Denz	OK		VAX									DND/Auke	9 augustus 2014		
224	SGI Iris Indigo (1)			SGI	Iris Indigo	SGI Iris Indigo		Depot	Workstation	Museum			MIPS												
225	SGI Iris Indigo (2)			SGI	Iris Indigo	SGI Iris Indigo		Depot	Workstation	Museum			MIPS									DND/Auke	9 augustus 2014		
226	Sun JavaStation (2)			Sun	Javastation	Carbon	823K0021	Depot	Thin Client	Museum	Onbekend											DND/Auke	9 augustus 2014		
227	Sun JavaStation Brick			Sun	Javastation-1 "Mr.Coffee"	Sun JavaStation-1	711C1494	Depot	Thin Client	Museum	OK		MicroSparc II												
228	Sun JavaStation (1)			Sun	JavaStation-10 "Krups"	Sun JavaStation-10		Depot	Thin Client	Museum															
229	NEC Multisync 5FG			NEC	JC-1741UMB	NEC Multisync 5FG	27D00509A	Depot	Monitor	Museum	OK											J. van Praag	23 maart 2010		
230	GNT 4601			GNT Automatic A/S	KDVK 12621	GNT 4601	481401	Depot	Card Punch	Hack42	Werkt!										MacSimski	DND	9 augustus 2014		
231			42001003	Atari	Keyboard		A1 3008886 81	Depot	Keyboard												?	LU			
232			42001004	Atari	Keyboard		A1 3003319 7A	Depot	Keyboard													DND	9 augustus 2014		
233			42001005	Atari	Keyboard		A1 3001624 78	Depot	Keyboard													DND	9 augustus 2014		
234			42001006	Atari	Keyboard		A1 3017078 95	MacSimski	Keyboard																
235	Digital Correspondent (1)			Digital	LA12-DB	Digital Correspondent		Depot	Hardcopy terminal	Museum	Voeding stoek?														
236	Digital Correspondent (2)			Digital	LA12-DB	Digital Correspondent	PN69467	Depot	Hardcopy terminal	Museum	Werkt?										Stoneshop				
237	Digital DECwriter III (LA120) (1)			Digital	LA120	Digital DECwriter III (LA120)		Depot	Hardcopy terminal	Museum	Gedemonteerd										Stoneshop				
238	Digital DECwriter III (LA120) (2)			Digital	LA120	Digital DECwriter III		Depot	Hardcopy terminal	Museum												DND	9 augustus 2014		Hardware_Digital_DECwriter_III_%28LA120%29_%282%29_picture.jpg
239	Compaq LTE			Compaq	LTE	Compaq LTE		Depot	Laptop	Museum	?		x86												
240	Apple 400k Drive			Apple	M0130	Apple 400k Drive	Y4425PPM0130	Depot	Storage	Museum	?											Gmc			
241	Olivetti M111			Olivetti	M111	Olivetti M111		Depot	Portable computer	Museum												LU	13 juni 2013		
242	Apple Macintosh Portable			Apple	M5126	Macintosh Portable		Depot	Laptop	Museum			68k		7.1,MacOS						Denz				
243	Apple Macintosh Performa 5300			Apple	Macintosh Performa 5300	Macintosh Performa 5300		Awesome Retro	Desktop computer	Awesome Retro	OK		PPC		7.5.1 NL,MacOS										
244			42001012	Atari	Mega ST2		A1 79 4001037	Depot	Desktop computer		OK											DND	9 augustus 2014		
245			42001011	Atari	Mega ST2 UK		A1 81 3000889M	Depot	Desktop computer		Defect, geen beeld														
246			42001010	Atari	Mega ST2 UK		A1 7A 3000504	MacSimski	Desktop computer		OK														
247	Apple Newton Messagepad 130			Apple	Messagepad 130	Messagepad 130		Depot	Handheld	Museum	OK		RISC		2.0,Newton OS							DND	9 augustus 2014		
248			42001048	Micropolis	Microdisk LT		geen	Depot														DND	9 augustus 2014		
249	Digital MicroVAX 2000			Digital	MicroVAX 2000	MicroVAX 2000		Depot	Computer	Museum	Werkt, moet gewist en opnieuw geinstalleerd worden		VAX		VMS,5.4-3										
250	Digital MicroVAX 3100 (1)			Digital	MicroVAX 3100	MicroVAX 3100		Depot	Server	Museum	Onbekend		VAX		OpenVMS						Stoneshop	DND	9 augustus 2014		
251	Digital MicroVAX 3100 (2)			Digital	MicroVAX 3100	MIcroVAX 3100		Depot	Server	Museum	Werkt, moet gewist en opnieuw geinstalleerd worden		VAX		OpenVMS,7.2						Stoneshop	LU	13 juni 2013		
252	Osborne Model II			Osborne	Model II	Osborne Model II	010331	Depot	Portable computer	Museum	Defect										Denz				
253	Multitech MPF-III			Multitech	MPF-III	Multitech MPF-III		Depot	Computer	Museum	OK		6502 & Z80		Apple DOS 3.3, CP/M							DND	9 augustus 2014		
254	Digital MUXserver 90			Digital	MUXserver 90	MUXserver 90		Depot	Network device	Museum	OK, production											DND	9 augustus 2014		
255	Sharp MZ-700			Sharp	MZ-700	MZ-700	45025096	Koen	Desktop computer	Museum	Onbekend		MZ-80K									DND	9 augustus 2014		
256			42001063	NeXT	N1000A	NeXTcube	ABA0001903	Depot														DND	9 augustus 2014		
257	NeXTStation (2)			NeXT	N1200	NextStation TurboColor	ABC0014066	Depot	Workstation	MacSimski	OK		68k		Nextstep,3.3							DND	9 augustus 2014		
258	NeXTStation Color (1)			NeXT	N1200	NextStation Color	ABC0006227	Depot	Workstation	MacSimski	OK		68k		Nextstep,3.3							DND	9 augustus 2014		
259	NeXTStation TurboColor (2)			NeXT	N1200	NextStation TurboColor	ABC0051217	Depot	Workstation	MacSimski	OK		68k		Nextstep,3.3							DND	9 augustus 2014		
260			42001043	NeXT	N1200	NeXTstation Color	ABC0014033	Depot														DND	9 augustus 2014		
261	NeXT Laserprinter			NeXT	N2000	NeXT Laserprinter	AAC0018040	Depot	Printer	MacSimski	OK											J. van Praag	23 maart 2010		
262			42001029	NeXT	N4005A	MegaPixel 21-inch Color Display	ADB9200776	Depot	Monitor													DND	9 augustus 2014		
263	NeXTcube			NeXT	NeXTcube	NeXTcube		Depot	Computer	Stoneshop	OK		68k		NeXTStep						Stoneshop	DND	9 augustus 2014		
264	NeXTStation (1)			NeXT	NeXTstation	NeXTstation		Depot	Workstation	Museum	Geen PSU		68k		NeXTStep						Denz, Stoneshop	DND	9 augustus 2014		
265	NSLU			LinkSys	NSLU 2	NSLU 2		Depot	Computer	Hack42			ARM									DND	9 augustus 2014		
266	SGI O2		42001034	SGI	O2 / CMN B014ANF225	SGI O2	3862A570	Depot	Workstation	Stoneshop	OK		MIPS		6.5,Irix							DND	9 augustus 2014		Hardware_SGI_O2_picture.jpg
267	IBM Office System 6/420			IBM	Office System 6/420	6441	5324522	Depot	Tekstverwerker	Hack42	OK											DND	9 augustus 2014		
268	ICL OPD		42001035	ICL-Sinclair	One Per Desktop	OPD	008601/02 085/005219	Depot	Desktop computer	Hack42	OK		68k		Basic Functional Software							DND	9 augustus 2014		
269	SGI Origin 200 (1)			SGI	Origin 200	SGI Origin 200 (1)		Depot	Server	Museum	Onbekend		MIPS		Irix,6.5										
270	SGI Origin 200 (2)			SGI	Origin 200	SGI Origin 200 (2)		Depot	Server	Museum	Onbekend		MIPS		Irix,6.5										
271	SGI Origin 2000			SGI	Origin 2000	Origin 2000		Depot	Server	Hack42	OK		MIPS		IRIX						Stoneshop	DND/Auke	9 augustus 2014		
272	Philips P2000			Philips	P2000	Philips P2000		Depot	Homecomputer	Museum												DND	9 augustus 2014		
273	IBM RT 6150 (2)			IBM	PC RT 6150	IBM PC RT 6150	53-11194	Depot	Workstation	Museum	Defect														
274	IBM RT 6150 (1)			IBM	PC RT 6150	IBM PC RT 6150	53-13453	Depot	Workstation		Defect														
275	Sharp PC-7100			Sharp	PC-7100	Sharp PC-7100	30100243	Depot	Portable computer	Museum	OK		8086		MS-DOS,3.3 NL							DND	9 augustus 2014		
276	Wang PC-s1-3			Wang	PC-S1-3	Wang PC-S1-3	?	Depot	Desktop computer	Museum	OK. HD stiction		x86									DND	9 augustus 2004		
277	Digital Rainbow			Digital	PC100-B3	Rainbow	ZG06787	Depot	Desktop computer	Museum	Onbekend														
278	Digital DECmate III (2)			Digital	PC238-AB	DECmate III	TA22513	Depot	Tekstverwerker	Museum	?		Harris 6120 8Mhz								Stoneshop	LU	13 juni 2013		
279	Digital DECmate III (1)			Digital	PC238-AB	DECmate III	AY64507356	Depot	Tekstverwerker	Museum	OK										Stoneshop	DND	9 augustus 2014		
280	Sharp PC4500			Sharp	PC4500	Sharp PC4500		Depot	Laptop	Museum	OK		x86		MS-DOS						Stoneshop	DND	9 augustus 2014		
281			42001017	Digital	PC500B3		AY72101480	Depot	Terminal												Stoneshop	DND	9 augustus 2014		
282	Olivetti AT&T PC 7300		42001036	Olivetti AT&T	PC7300	AT&T PC7300	370429020 000809	Depot	Desktop computer	Museum	Schoongemaakt, Demonstrabel		68k		AT&T Unix,3						Stoneshop	DND	9 augustus 2014		Hardware_Olivetti_AT%26T_PC_7300_picture.jpg
283	Digital DEC3000 400			Digital	PE40A-A9	DEC3000 400	AY33221334	Depot	Workstation	Museum	Onbekend		AXP								Denz	LU Wageningen			
284	Comterm Polytel			Comterm	Polytel PT200	PolyTel	15334	Depot	Terminal	Museum															
285			42001024	Livingston Enterprises Inc.	PortMaster 2e / PM2E		1B14432	Depot	Communications Server													DND	9 augustus 2014		
286			42001025	Livingston Enterprises Inc.	PortMaster 2e / PM2Ei		1N01218	Depot	Communications Server													DND	9 augustus 2014		
287			42001027	Livingston Enterprises Inc.	PortMaster ISDN Office Router (OR-ST)		1K01704	Depot														DND	9 augustus 2014		
288			42001026	Livingston Enterprises Inc.	PortMaster Sychronous Office Router (OR-HS)		1J00399	Depot														DND	9 augustus 2014		
289			42001028	Livingston Enterprises Inc.	PortMaster Sychronous Office Router (OR-LS)		1L03283	Depot														DND	9 augustus 2014		
290			42001007	Atari	Power brick		S02501479B2	Depot	Voeding																
291			42001008	Atari	Power brick		Unreadable	Depot	Voeding																
292	Apple Powerbook 160			Apple	Powerbook160	Apple Powerbook160		Depot	Laptop	Museum	Defect		68k		MacOS,7.0							DND	9 augustus 2014		
293	Apple Powerbook 165			Apple	Powerbook165	Apple Powerbook165		Depot	Laptop	Museum	OK		68k		MacOS										
294	IBM PowerPC 7248			IBM	PowerPC 7248	IBM PowerPC 7248		Depot	Workstation	Museum			PPC												
295	Amstrad PPC640 (1)			Amstrad	PPC640	Amstrad PPC640	532-8726096	Depot	Portable computer	Museum	OK		8086		MS-DOS,3.3						MacSimski	DND	9 augustus 2014		
296	Amstrad PPC640 (2)			Amstrad	PPC640	Amstrad PPC640	532-8725866	Depot	Portable computer				8086								MacSimski	DND	9 augustus 2014		
297	Slipstream Professional X100			Slipstream	Professional X100	Slipstream Professional X100	?	Depot	Monitor	Museum	OK										MacSimski	DND	9 augustus 2014		
298	Olivetti Programma 101			Olivetti	Programma 101	Programma 101		Depot	Programmeerbare calculator	Museum	Onder behandeling door MacSimski		Discrete elektronica												
299	Epson PX-8 (1)			Epson	PX-8	Geneva	014564	Depot	Laptop	Museum	OK		Z80		CP/M,-80										
300	Epson PX-8 (2)			Epson	PX-8	Geneva		Depot	Laptop	Museum	OK		Z80		CP/M,-80						?	LU			
301	Sinclair QL			Sinclair	QL	Sinclair QL	D13-049208	Depot	Homecomputer	MacSimski			68k									DND	9 augustus 2014		
302	Olivetti Quaderno			Olivetti	Quaderno	Olivetti Quaderno		Depot	Handheld	Museum															
303	Digital RL02 (1)			Digital	RL02-A	Digital RL02	GA04054	Depot	Storage	Museum															
304	Digital RL02 (2)			Digital	RL02-A	Digital RL02	GA04136	Depot	Storage	Museum															
305	THT Ro204 (1)			THT	Ro204	THT Ro204		Depot	Storage	Museum															
306	THT Ro204 (2)			THT	Ro204	THT Ro204		Depot	Storage	Museum															
307	THT Ro204 (3)			THT	Ro204	THT Ro204		Depot	Storage	Museum											?	LU	18 september 2014		
308	THT Ro204 (4)			THT	Ro204	THT Ro204		Depot	Storage	Museum															
309	IBM RS6000 E20			IBM	RS6000 E20	IBM RS6000 E20		Depot	Server	Museum			PPC		AIX							DND	9 augustus 2014		
310	IBM RS6000 F30			IBM	RS6000 F30	IBM RS6000 F30		Depot	Server	Museum			PPC		AIX										
311	IBM RS6000-150			IBM	RS6000-150	IBM RS6000-150		Depot	Workstation	Museum			PPC												
312	Toshiba Satellite 100CS			Toshiba	Satellite 100CS	Toshiba Satellite 100CS		Depot	Laptop	Museum			x86									DND	9 augustus 2014		Hardware_Toshiba_Satellite_100CS_picture.jpg
313	Atari SC1224			Atari	SC1224	Atari SC1224	N1834037312	Depot	Monitor	Museum	?											DND	9 augustus 2014		
314	Sony SDX-D700C			Sony	SDX-D700C	Sony SDX-D700C		Depot	Storage																
315			42001044	Digital	SEACT-AX	Infoserver 150	AY225A2119	Depot	Server	Denz															
316	IBM Selectric			IBM	Selectric 6705	IBM Selectric II	277154	Depot	Typewriter	Museum	OK		Electromechanisch								Het Museum		1 april 2013		
317	Psion Series 7 (3)			Psion	Series	Psion Series 7		Depot	Handheld	Museum	Defect		ARM		EPOC							DND	9 augustus 2014		
318	Psion Series 7 (2)			Psion	Series 7	Psion Series 7		Depot	Handheld	Museum	OK		ARM		EPOC							DND	9 augustus 2014		
319	Psion Series 7 (1)			Psion	Series 7	Psion Series 7	JBDC810092	Depot	Handheld				ARM		EPOC							DND	9 augustus 2014		
320	Atari SH205			Atari	SH205	Atari SH205	A17A4000523	Depot	Storage	Museum	Defect?											J. van Praag	23 maart 2010		
321	Compaq SLT286 (1)			Compaq	SLT286		8102HU4F0104	Depot	Portable computer	Museum	?		80286												
322	Compaq SLT286 (2)		42000004	Compaq	SLT286		6941HU3H0642	Depot	Portable computer	Museum	?		80286												
323			42001015	Atari	SM124		N1510411966	Depot	Monitor		Geen beeld														
324			42001013	Atari	SM124		N1510417816	Depot	Monitor		Wazig, rare geluiden														
325			42001014	Atari	SM124		N1834299889	MacSimski	Monitor		Werkt, scherp, wobbelt														
326			42001018	Atari	SM124		N1894392537	Depot	Monitor															00:C0:05:01:80:E2	
327	Atari SM125			Atari	SM125	Atari SM125	T1684000984	Depot	Monitor	Museum														00:C0:05:01:6A:83	
328			42001016	Atari	SM125		T1684000664	Depot	Monitor		OK														
329			42001042	Madge	SmartRAM Plus		155-650-05 E80518 F29K	Depot	Hub/switch RJ45																
330	Exidy Sorcerer (3)			Exidy Corporation	Sorcerer	Exidy Sorcerer		Depot	Desktop computer	Museum															
331	Sun SparcStation IPX			Sun	SparcStation IPX	Sun SparcStation IPX		Depot	Workstation	Museum			Sparc												
332			42001038	Friden	SPD		94034	Depot	Teleprinter																
333	Sinclair Spectrum			Sinclair	Spectrum	Sinclair Spectrum		Depot	Homecomputer				Z80												
334	Texas Instruments SR-51-II			Texas Instruments	SR-51-II	SR-51-II	484917	Depot	Calculator	Museum	OK											DND	9 augustus 2014		
335	Sunblade 100			Sun	Sunblade 100	Sunblade 100		Depot	Workstation	Museum															
336	HP SureStore Optical 401x			HP	SureStore Optical 401x	HP SureStore Optical 401x		Depot	Storage	Museum															
337	Friden Computyper SW10			Friden	SW10	Friden Computyper		Depot	Calculator	Museum			Electromechanisch												
338	Twelex			Siemens	T1000	PTT Telescript 12		Lounge	Telex	Hack42	OK														
339	Toshiba T1200			Toshiba	T1200	Toshiba T1200		Depot	Laptop	Museum	Defect		8086		MS-DOS						MacSimski	LU	13 juni 2013		
340	Siemens T37i			Siemens	T37i	Siemens T37i Telex		Depot	Telex	Macsimski	OK														
341	Tandberg TDC3000			Tandberg	TDC3000	Tandberg TDC3000		Depot	Storage	Museum											MacSimski				
342	Tandberg TDC3820 (1)			Tandberg	TDC3820	Tandberg TDC3820	40360029	Depot	Storage	Hack42															
343	Tandberg TDC3820 (2)			Tandberg	TDC3820	Tandberg TDC3820	40367817	Depot	Storage	Hack42															
344	THT Terminal			THT	Terminal	Terminal	56-3-109	Depot	Terminal	Museum	Werkt min of meer											DND	9 augustus 2014		
345	Adler Tippa			Adler	Tippa	Adler Tippa		Depot	Typewriter	Museum	OK														
346	Husky Titan		42000002	Husky computer LTD.	Titan	Husky Titan	0001094	Depot	Handheld	Museum	Accu dood											DND	9 augustus 2014		
347	Olimarck TOP 15			Olimarck	TOP 15	Olimarck TOP 15		Depot	Portable computer	Museum												DND	9 augustus 2014		
348	TRS-80 MC-10			Tandy Corporation	TRS-80 MC-10	Micro Color Computer		Depot	Homecomputer	Museum	Werkt		Motorola MC6803												Hardware_TRS-80_MC-10_picture.jpg
349	Tandy TRS-80 Model 100			Tandy/Radio Shack	TRS-80 Model 100	Tandy TRS-80 Model 100	401300833	Depot	Handheld	Museum	OK														
350	Tandy TRS-80 Model 102 (2)			Tandy/Radio Shack	TRS-80 Model 102	Tandy TRS-80 Model 102	907400404	Depot	Handheld	Museum	Defect											DND	9 augustus 2014		
351	Tandy TRS-80 Model 102 (1)			Tandy/Radio Shack	TRS-80 Model 102	Tandy TRS-80 Model 102	603400743	Depot	Handheld	Museum	OK											DND	9 augustus 2014		
352	Tandy TRS-80 Model 200			Tandy/Radio Shack	TRS-80 Model 200	Tandy	503400255	Depot	Laptop	Museum	OK		8085									DND	9 augustus 2014		
353	Digital TS05			Digital	TS05	Digital TS05		Depot	Storage	Museum	OK											DND	9 augustus 2014		
354	Digital TU80			Digital	TU80	Digital TU80		Depot	Storage	Museum	Fails selftest														
355	Sun Ultra 30			Sun	Ultra 30	Sun Ultra 30		Depot	Workstation				Sparc												
356	Digital VAXstation 2000			Digital	VAXstation 2000	Digital VAXstation 2000		Depot	Workstation	Museum			VAX												
357	Philips VG-8010			Philips	VG-8010	Philips VG-8010	NSF0150120878	Depot	Homecomputer	Museum			Z80		MSX										
358	Digital GiGi (1)			Digital	VK100	GiGi		Depot	Grafische terminal	Museum	OK														
359	Digital GiGi (2)			Digital	VK100-AB	Digital GiGi	WF10531	Depot	Grafische terminal	Museum	Defect										Mechanica				
360	Digital GiGi (3)			Digital	VK100-AB	Digital GiGi	WF10649	Depot	Grafische terminal	Museum	Defect										MacSimski, Stoneshop, Eightdot, Bugblue				
361	Digital VR201			Digital	VR201	Digital VR201	SA72960364	Depot	Monitor	Museum	?											DND	9 augustus 2014		
362	Digital VR241 (2)			Digital	VR241-A	Digital VR241	Y6LB4516	Depot	Monitor	Museum	Defect														
363	Digital VR241 (1)			Digital	VR241-A	Digital VR241	Y5J076706	Depot	Monitor	Museum	OK											DND	9 augustus 2014		
364	Digital MicroVAX II/RC			Digital	VS21V-M3	Digital VAXstation II/RC	GA00293	Depot	Workstation	Museum															
365	Digital VT240 (2)			Digital	VS240-A	Digital VT240	AB43300YJ8	Depot	Grafische terminal	Museum	Defect														
366	Digital VT240 (1)			Digital	VS240-C	Digital VT240	AB52000LQ3	Depot	Grafische terminal	Museum	OK														
367	Digital VT100			Digital	VT100	VT100		Depot	Terminal	Museum	OK														
368	Digital VT100-AB			Digital	VT100-AB	Digital VT100	PN64136	Depot	Terminal	Museum	Defect														
369	Digital VT220			Digital	VT220-E3	Digital VT220	TA702P1914	Depot	Terminal	Museum	OK														
370	Digital VT320 (2)			Digital	VT320-A3	Digital VT320	HK90754758	Depot	Terminal	Museum	OK										Denz	Haarlem			
371	Digital VT320 (3)			Digital	VT320-A3	VT320	SA00182557	Depot	Terminal	Museum	OK														
372	Digital VT320 (1)			Digital	VT320-A3	Digital VT320	SA92834760	Depot	Terminal	Museum															
373	Digital VT330			Digital	VT330	Digital VT330	TA83006575	Depot	Terminal	Museum	Defect														
374	Digital VT420			Digital	VT420	VT420		Depot	Terminal	Museum	OK											DND	9 augustus 2014		
375	Digital VT510			Digital	VT510-A6	Digital VT510	TA41718064	Depot	Terminal	Museum	OK											DND	9 augustus 2014		
376	Digital VT55			Digital	VT55-FB	Digital VT55	WF07443	Depot	Terminal	Museum	Defect											LUW			Hardware_Digital_VT55_picture.jpg
377	Digital VXT2000 (2)			Digital	VX17A-A9	Digital VXT2000	TA32000212	Depot	Grafische terminal	Museum	?										Mechanica				
378	Digital VXT2000 (1)			Digital	VXT2000	Digital VXT2000		Depot	Grafische terminal	Museum															
379			42001009	GP Industrial Electronics Ltd.	XR16 Production Programmer		15617	Depot	EPROM Programmer												MacSimski	DND			
380	IBM Xseries 232			IBM	Xseries 232	IBM Xseries 232		Depot	Server	Museum			PPC									LU			
381	DepotPC		42001022	HP	XW4400	Depot	CZC7084N0K	Depot	Workstation	Hack42	Productie		x86		Ubuntu							DND			
382			42001040	HP	xw6600	Workstation xw6600	CZC9193MCH	Depot	PC																
383	Sinclair ZX81			Sinclair	ZX81	Sinclair ZX81		Depot	Homecomputer	Museum			Z80									DND	9 augustus 2014		
384	Videotex terminal			{{{Manufacturer}}}		Videotex Terminal		Depot	Terminal						Embedded							DND	9 augustus 2014		
385	Apple iMac Graphite			Apple		iMac Graphite		Depot	Desktop computer	Museum	OK		PPC		MacOS							DND	9 augustus 2014		
386				Apricot F1 monitor				Depot	Monitor													DND	9 augustus 2014		
387			42001030	HP			07910-69031 2200 03964	Depot	Disk													DND	9 augustus 2014		
388	Kangaroo			Kangaroo		Kangaroo		Depot	Portable computer	Museum	OK		8086		MS-DOS,3.21							LU	13 juni 2013		
